Date,JPM UN Equity,USB UN Equity,GS UN Equity,FB UW Equity,AAPL UW Equity,GOOGL UW Equity,GM UN Equity,F UN Equity
19/08/2016,65.86,43.35,166.23,123.56,109.36,799.65,31.83,12.39
22/08/2016,65.8,43.37,166.26,124.15,108.51,796.95,31.87,12.36
23/08/2016,65.77,43.44,166.08,124.37,108.85,796.59,31.9,12.42
24/08/2016,65.95,43.24,165.3,123.48,108.03,793.6,31.78,12.3
25/08/2016,66.07,43.4,165.9,123.89,107.57,791.3,31.54,12.47
26/08/2016,66.22,43.4,165.97,124.96,106.94,793.22,31.53,12.38
29/08/2016,66.95,43.84,166.87,126.54,106.82,795.82,31.81,12.47
30/08/2016,67.5,44.08,169.37,125.84,106,791.92,31.67,12.55
31/08/2016,67.5,44.15,169.46,126.12,106.1,789.85,31.92,12.6
01/09/2016,67.21,44.03,168.51,126.17,106.73,791.4,31.8,12.44
02/09/2016,67.49,44.16,169.18,126.51,107.73,796.87,32.16,12.5
06/09/2016,67.44,43.86,169.33,129.73,107.7,808.02,32.12,12.67
07/09/2016,67.16,43.66,169.67,131.05,108.36,807.99,31.89,12.7
08/09/2016,67.25,43.84,171.66,130.27,105.52,802.84,31.71,12.73
09/09/2016,66.65,43.41,168.57,127.1,103.13,788.48,30.48,12.38
12/09/2016,67.06,43.8,171.06,128.69,105.44,798.82,31.18,12.7
13/09/2016,66.53,43.23,167,127.21,107.95,788.72,30.94,12.38
14/09/2016,66.4,42.92,166.16,127.77,111.77,790.46,30.71,12.14
15/09/2016,66.64,43.03,168.08,128.35,115.57,801.23,31.12,12.11
16/09/2016,65.82,42.6,166,129.07,114.92,797.97,30.97,12.11
19/09/2016,66.19,42.86,166.21,128.65,113.58,795.39,31.72,12.11
20/09/2016,66.46,43.02,166.47,128.64,113.57,799.78,31.65,12
21/09/2016,66.84,43.26,167.03,129.94,113.55,805.03,32.11,12.09
22/09/2016,67.39,43.17,168.02,130.08,114.62,815.95,32.39,12.18
23/09/2016,67.25,42.96,165.13,127.96,112.71,814.96,32.12,12.17
26/09/2016,65.78,42.47,161.48,127.31,112.88,802.65,31.8,12.01
27/09/2016,66.36,42.9,162.89,128.69,113.09,810.73,31.6,11.98
28/09/2016,66.71,42.81,163.45,129.23,113.95,810.06,31.9,12.09
29/09/2016,65.65,42.48,158.95,128.09,112.18,802.64,31.48,11.97
30/09/2016,66.59,42.89,161.27,128.27,113.05,804.06,31.77,12.07
03/10/2016,66.51,42.66,161.07,128.77,112.52,800.38,32.04,12.1
04/10/2016,66.6,42.85,162.27,128.19,113,802.79,32.17,12.2
05/10/2016,67.69,43.65,166.4,128.47,113.05,801.23,32.68,12.48
06/10/2016,67.87,43.89,167.15,128.74,113.89,803.08,32.53,12.39
07/10/2016,68.11,43.7,169.83,128.99,114.06,800.71,32.34,12.29
10/10/2016,68.64,43.8,171.04,130.24,116.05,814.17,32.15,12.12
11/10/2016,68.31,43.29,169.04,128.88,116.3,809.57,31.89,11.99
12/10/2016,68.13,43.4,169.3,129.05,117.34,811.77,31.68,11.96
13/10/2016,67.74,42.88,167.42,127.82,116.98,804.08,31.51,11.91
14/10/2016,67.52,42.85,170.52,127.88,117.63,804.6,31.87,11.91
17/10/2016,67.17,42.72,169,127.54,117.55,806.84,31.56,11.88
18/10/2016,67.7,43.01,172.63,128.57,117.47,821.49,31.4,11.89
19/10/2016,68.35,43.58,174.51,130.11,117.12,827.09,31.85,12.01
20/10/2016,68.26,43.95,174.51,130,117.06,821.63,31.75,11.97
21/10/2016,68.49,43.85,174.67,132.07,116.6,824.06,32.04,12.02
